epoch,train_loss,train_data_loss,train_biology_loss,train_mae,train_mape,mean_alpha,mean_K,mean_beta
236,0.335236,0.225768,2.189362,1.541419,102.3923,2.5326,9.1020,0.3150
237,0.335426,0.225157,2.205377,1.541124,102.3145,2.5650,9.2362,0.3418
238,0.335265,0.225271,2.199880,1.540973,102.5232,2.5642,9.2643,0.3208
239,0.335239,0.225261,2.199557,1.540929,102.7400,2.5819,9.3612,0.3201
240,0.335666,0.225333,2.206677,1.540831,102.2589,2.6368,9.3837,0.3114
241,0.336198,0.225465,2.214670,1.536422,101.9190,2.6944,9.2893,0.2731
242,0.337372,0.228781,2.171838,1.544682,102.2880,2.5532,9.2664,0.3289
243,0.335384,0.225469,2.198304,1.538888,102.4022,2.5165,9.2913,0.3463
244,0.335579,0.227309,2.165400,1.543697,102.2835,2.5850,9.4174,0.3149
245,0.336002,0.225919,2.201671,1.539961,102.4118,2.6097,9.4128,0.2936
246,0.335885,0.225582,2.206070,1.536170,102.1262,2.5383,9.2041,0.2941
247,0.335526,0.226816,2.174214,1.542388,102.3912,2.5477,9.2823,0.2942
248,0.335395,0.226095,2.185995,1.539886,102.3487,2.5082,9.3160,0.3279
249,0.335027,0.225790,2.184754,1.540801,102.4342,2.5418,9.1608,0.3229
250,0.335649,0.227356,2.165862,1.544487,102.5195,2.5927,9.2955,0.2979
251,0.335648,0.225514,2.202681,1.538954,102.2851,2.5446,9.2729,0.2541
252,0.335658,0.227890,2.155372,1.544479,102.3809,2.6705,9.4412,0.2687
253,0.336250,0.226993,2.185127,1.541199,102.6962,2.5406,9.4330,0.3215
254,0.335012,0.225417,2.191898,1.539715,102.5304,2.5555,9.2452,0.3030
255,0.335011,0.225611,2.187995,1.540114,102.4887,2.6643,9.3451,0.2470
256,0.336245,0.227517,2.174566,1.541769,102.3689,2.6430,9.3969,0.2893
257,0.336105,0.226731,2.187482,1.539868,102.3065,2.5535,9.4152,0.3054
258,0.335546,0.227251,2.165907,1.542421,102.0684,2.5739,9.2543,0.3264
259,0.335225,0.225690,2.190688,1.538897,102.4136,2.5864,9.4747,0.3210
260,0.334953,0.223864,2.221792,1.532101,102.3474,2.5396,9.2728,0.3269
261,0.335314,0.226845,2.169399,1.541259,102.4936,2.6006,9.4099,0.3005
262,0.336123,0.226789,2.186682,1.539604,102.2739,2.5593,9.1999,0.2864
263,0.335562,0.227171,2.167813,1.542273,102.2063,2.5777,9.2805,0.2832
264,0.335211,0.225692,2.190370,1.538485,102.3948,2.5154,9.2818,0.3372
265,0.334786,0.225768,2.180369,1.539974,102.3631,2.5526,9.3664,0.3107
266,0.334817,0.225420,2.187930,1.538853,102.3114,2.6254,9.4078,0.2740
267,0.335478,0.225609,2.197384,1.534361,102.0551,2.6596,9.2527,0.2955
268,0.335934,0.226331,2.192066,1.538339,102.3153,2.6275,9.0731,0.2836
269,0.336228,0.227423,2.176106,1.541463,102.3189,2.5587,9.3429,0.2977
270,0.335259,0.226639,2.172406,1.539188,102.2445,2.5834,9.4450,0.3185
271,0.335107,0.225721,2.187723,1.537260,102.3412,2.6096,9.2691,0.3181
272,0.336073,0.226279,2.195895,1.538335,102.1379,2.5696,9.3245,0.3016
273,0.335420,0.226890,2.170591,1.540300,102.1169,2.5851,9.3261,0.2444
274,0.335777,0.227789,2.159777,1.540619,102.3110,2.6241,9.4285,0.2842
275,0.335655,0.226547,2.182157,1.537709,102.3664,2.5331,9.4494,0.3321
276,0.334635,0.225102,2.190654,1.537077,102.3581,2.5432,9.2557,0.3151
277,0.335157,0.226967,2.163802,1.540817,101.9997,2.5903,9.4762,0.2949
278,0.334996,0.223683,2.226268,1.528656,102.2912,2.5662,9.2825,0.2681
279,0.335042,0.226188,2.177071,1.537167,101.9534,2.5777,9.3604,0.3141
280,0.335559,0.226826,2.174669,1.538956,101.9531,2.6691,9.4013,0.3021
281,0.335856,0.225107,2.214988,1.529797,102.1589,2.6184,9.2225,0.2791
282,0.335621,0.226090,2.190637,1.536295,102.4923,2.5320,9.2822,0.3282
283,0.335045,0.226730,2.166317,1.539143,102.1498,2.5683,9.3196,0.3337
284,0.335278,0.226353,2.178496,1.537148,102.3687,2.5336,9.3509,0.3170
285,0.334795,0.226439,2.167102,1.538609,102.3914,2.5444,9.4081,0.3331
286,0.335178,0.226722,2.169127,1.537879,102.2432,2.6052,9.4509,0.3062
287,0.334601,0.223497,2.222083,1.528517,102.6145,2.5981,9.4256,0.3117
288,0.334726,0.222789,2.238750,1.526156,102.0175,2.5193,9.2130,0.3177
